card_number,customer_id,card_brand_id,card_verification_value,card_type
535863 4867164521,205,1,305,DEBIT
491347 625622 5762,206,4,633,DEBIT
4483 877 54 8774,207,3,512,CREDIT
201451925752945,208,2,749,DEBIT
633110 8293236577,209,3,828,DEBIT
5294 8327 4478 6691,210,3,430,CREDIT
302558747467574,211,3,614,DEBIT
201442363761225,212,2,307,CREDIT
4026657956384348,213,3,982,DEBIT
6467712382427918,214,3,532,DEBIT
4532 758 65 1691,215,3,205,DEBIT
305513884486868,216,2,708,DEBIT
6304 1584 4115 1551,217,3,735,DEBIT
4929 4863 5642 1783,218,2,409,CREDIT
6767 6266 8314 7693,219,2,461,DEBIT
379589226378147,220,2,602,CREDIT
633495 132624 9589,221,4,856,CREDIT
4508 6273 5593 7928,222,3,913,DEBIT
633110 392633 1440,223,3,970,CREDIT
362258719147786,224,3,242,CREDIT
4844447322534523,225,2,419,DEBIT
3611 657548 87724,226,2,457,DEBIT
569452 2399689375,227,3,764,DEBIT
491 74842 22147 157,228,3,881,DEBIT
484475 839879 3862,229,5,793,CREDIT
3002 472333 16386,230,3,653,DEBIT
214957486431757,231,5,639,CREDIT
491634 8368635278,232,4,142,DEBIT
535 35345 45438 112,233,1,752,CREDIT
630462 81 5165 6819 223,234,3,679,CREDIT
3645 187575 57958,235,5,220,CREDIT
490573185428242363,236,4,544,CREDIT
582882568571899,237,1,397,DEBIT
491 38225 38816 177,238,4,485,DEBIT
5352 4779 6974 1473,239,2,705,CREDIT
6761567222762,240,4,747,CREDIT
343637666996523,241,2,532,DEBIT
378127146438377,242,4,730,CREDIT
367463842347288,243,4,522,DEBIT
4911232834652635,244,4,731,DEBIT
5641 8295 4534 9471,245,1,147,CREDIT
201468855184444,246,3,600,DEBIT
2014 666683 93673,247,3,886,DEBIT
201424198762560,248,3,405,DEBIT
6759 8713 4356 3489,249,3,299,DEBIT
585562933868629679,250,4,117,CREDIT
630423 782167 8399,251,5,617,DEBIT
347256468664142,252,1,268,CREDIT
4539 6883 3288 8645,253,5,678,CREDIT
3033 345487 25555,254,5,471,DEBIT
676782 47 3733 4475 485,255,2,860,DEBIT
675997 96 6588 6742 731,256,5,663,CREDIT
568934 285449 4543,257,2,312,DEBIT
3059 683789 47652,258,2,766,DEBIT
3024 588826 61729,259,2,854,CREDIT
4844752634385856,260,4,493,CREDIT
676367 63 7623 3897 214,261,3,434,DEBIT
373263687376521,262,4,699,CREDIT
6334895758244496380,263,3,677,DEBIT
371723764472552,264,4,491,DEBIT
4556486587624577,265,1,695,DEBIT
6763516253288537942,266,1,755,CREDIT
676228 479945 1933,267,2,319,DEBIT
2149 552163 31545,268,4,308,CREDIT
5121386342745152,269,3,354,DEBIT
3721 264562 62944,270,2,731,CREDIT
376884517755647,271,5,862,CREDIT
646464 454594 6240,272,4,398,DEBIT
3642 182885 46444,273,1,949,DEBIT
6767481211482266546,274,2,137,DEBIT
417500 3586496997,275,4,502,CREDIT
633471 49 9646 5557 527,276,3,218,DEBIT
3642 842232 55962,277,5,939,DEBIT
455 64576 48567 550,278,2,705,CREDIT
4917782812883424,279,2,897,DEBIT
534692 2382254231,280,2,598,CREDIT
537866 5249854625,281,4,503,DEBIT
2014 724394 12263,282,4,667,DEBIT
492954 9873323459,283,3,968,CREDIT
3658 628859 87789,284,4,665,CREDIT
645735 7849525573,285,2,841,CREDIT
2149 547232 77374,286,2,198,DEBIT
4913229761629311,287,5,232,DEBIT
527 54267 76341 534,288,4,338,CREDIT
517 38453 42544 532,289,4,446,DEBIT
450883 3651746860,290,4,281,DEBIT
676739 31 2178 5136 147,291,3,529,CREDIT
362685871773738,292,4,711,DEBIT
493688 441669 2552,293,3,378,DEBIT
501858 37 2385 6358 282,294,5,163,DEBIT
6771 8661 8592 8844,295,3,872,CREDIT
519 71335 37245 922,296,2,492,CREDIT
5641 8258 8678 6214,297,2,834,DEBIT
4716 832 17 3232,298,4,964,CREDIT
633452 59 2644 9498 745,299,3,952,DEBIT
3797 253353 32746,300,5,884,DEBIT
362164525398540,301,5,216,CREDIT
5641 8226 7958 2629,302,5,812,CREDIT
3747 715548 78212,303,2,764,CREDIT
6458359887869771,304,1,289,CREDIT
6767 4211 4873 2465,305,3,148,DEBIT
5236 1226 7763 5532,306,4,494,CREDIT
214988551536782,307,1,116,DEBIT
3613 842536 27677,308,2,121,DEBIT
366868142293555,309,5,928,CREDIT
564182 88 7497 4566 878,310,2,527,DEBIT
3007 212837 67441,311,5,935,CREDIT
670612 333564 9759,312,2,167,CREDIT
676793 35 2374 2499 848,313,4,269,CREDIT
348928734518299,314,4,166,DEBIT
365879995837456,315,5,752,CREDIT
630422 483136 3840,316,4,850,DEBIT
646638 8598448146,317,5,649,CREDIT
6759526224773652,318,3,141,CREDIT
4556777586815954,319,1,330,DEBIT
4175 0037 5431 2380,320,2,492,DEBIT
362687379952392,321,2,513,DEBIT
644492 8878744982,322,2,378,CREDIT
2149 832264 77363,323,3,751,DEBIT
2014 682827 28839,324,4,199,DEBIT
4905948356468256210,325,3,140,CREDIT
365124528982234,326,2,913,CREDIT
201443638265935,327,1,841,CREDIT
644782 9834915814,328,5,224,DEBIT
3736 996886 44575,329,4,654,DEBIT
362821644326278,330,3,396,DEBIT
648611 885593 5162,331,5,252,CREDIT
492917 6314815370,332,3,768,CREDIT
374488495652370,333,5,232,CREDIT
5164 8228 6273 4422,334,2,448,DEBIT
676763 68 9742 7835 868,335,2,172,DEBIT
5038237318135736313,336,3,899,DEBIT
3046 638832 34677,337,3,761,DEBIT
5318 7576 3278 8529,338,5,394,CREDIT
675957 5462497128,339,3,632,CREDIT
5366 9495 7846 7355,340,3,480,DEBIT
490554 74 4467 8745 647,341,5,391,DEBIT
201487593257676,342,2,990,DEBIT
5566727757522580,343,2,241,CREDIT
633351 26 6596 6431 534,344,3,635,DEBIT
491617 6577968317,345,1,660,DEBIT
417500 7217736226,346,4,876,CREDIT
3633 486584 98149,347,3,820,DEBIT
3614 175357 97312,348,2,412,DEBIT
648673 6632368686,349,2,744,DEBIT
675962 5255547785,350,4,393,CREDIT
347324969742864,351,4,484,CREDIT
670646567658333597,352,2,835,DEBIT
676318625137281,353,2,247,CREDIT
58355534146927373,354,4,649,CREDIT
491 72932 36265 388,355,4,426,DEBIT
361699149329141,356,4,674,CREDIT
633462 267234 4643,357,2,617,DEBIT
6771849288353946,358,2,301,CREDIT
562 23466 88167 340,359,4,724,DEBIT
670 68436 67726 459,360,2,927,DEBIT
3612 548315 22247,361,2,560,DEBIT
501847 36 5649 7326 271,362,3,921,DEBIT
417 50057 59384 538,363,2,822,DEBIT
675942 67 6757 5478 772,364,2,767,DEBIT
402400 7177742555,365,1,506,CREDIT
6767 5233 8753 2447,366,3,451,DEBIT
3761 356515 75196,367,1,903,DEBIT
6771497652641791,368,4,546,CREDIT
4024007155946814,369,2,114,DEBIT
6498265428857450,370,4,600,CREDIT
453287 453396 8512,371,5,278,CREDIT
300761358666276,372,5,578,CREDIT
538 27594 51924 954,373,1,344,DEBIT
3759 158551 21660,374,5,552,CREDIT
342152243363461,375,3,786,DEBIT
300277529725362,376,3,418,CREDIT
4556338374554881,377,4,600,DEBIT
633337146262843812,378,4,948,DEBIT
630453 2774259779,379,2,738,CREDIT
2014 332379 38271,380,3,322,DEBIT
3051 774825 73491,381,3,350,CREDIT
630435433443,382,3,943,CREDIT
304578683868351,383,5,177,DEBIT
644472 649762 5859,384,5,455,DEBIT
633424 66 3253 6639 682,385,1,317,DEBIT
4927 347 52 8337,386,1,806,DEBIT
6771723836928899,387,3,177,DEBIT
558278 9277666438,388,2,182,DEBIT
5188 3625 1345 6879,389,1,249,DEBIT
4916 6297 7733 3567,390,3,181,CREDIT
491 16484 69354 520,391,4,903,DEBIT
371648228243333,392,3,900,CREDIT
3664 462558 42359,393,4,279,CREDIT
648 45567 99164 898,394,4,689,CREDIT
6333 6575 3324 7875,395,1,196,DEBIT
503 84787 36325 576,396,4,746,DEBIT
4532 3643 8875 8820,397,5,135,CREDIT
4917252632293527,398,4,825,DEBIT
471 63945 86777 148,399,3,837,CREDIT
501833784556949,400,4,526,CREDIT
677136425629758347,401,3,283,CREDIT
3743 985242 91241,402,1,299,DEBIT
484467 728874 8853,403,2,821,CREDIT
564 18233 12784 788,404,3,248,CREDIT
676719 355795 8978,405,4,369,DEBIT
564182 77 6468 8334 286,406,5,857,DEBIT
3642 342672 83230,407,4,605,DEBIT
5533 9624 5275 6957,408,3,947,CREDIT
633110 523914 3586,409,2,846,DEBIT
491194 25 7466 7182 367,410,4,164,CREDIT
6763 338526 2671,411,2,221,DEBIT
491641 7383715835,412,4,334,CREDIT
2014 579467 65576,413,4,616,CREDIT
490523 8843883473,414,4,498,CREDIT
526975 564181 2768,415,4,558,CREDIT
3443 856175 44773,416,2,767,CREDIT
491 35623 27146 358,417,4,913,DEBIT
646 88654 83867 587,418,4,624,CREDIT
4024007119969,419,3,334,DEBIT
633469 3341667623,420,1,255,DEBIT
6706 6286 1241 5757,421,3,578,DEBIT
402633 7812783732,422,3,269,CREDIT
5362 1579 7626 2279,423,1,322,CREDIT
6452 5723 8492 9916,424,4,197,CREDIT
201487839322862,425,3,632,DEBIT
676 31243 69587 865,426,4,456,CREDIT
201475638722333,427,2,903,CREDIT
633434 7667865770,428,2,118,DEBIT
4539 8339 5848 6684,429,3,113,CREDIT
402671 1461466478,430,1,257,CREDIT
491794 3117839962,431,1,754,CREDIT
6467 6975 3626 4541,432,4,792,DEBIT
493668 5448457215,433,2,636,CREDIT
633475 862624 7829,434,2,380,DEBIT
214968524776657,435,1,204,CREDIT
3008 499557 26948,436,2,490,DEBIT
214934328845312,437,1,346,DEBIT
348728882418163,438,5,271,CREDIT
5872 7374 1166 6185,439,5,740,CREDIT
471677 434168 4327,440,5,942,CREDIT
4539717845752442,441,2,602,DEBIT
302891378525927,442,2,930,DEBIT
67065646795221479,443,2,532,DEBIT
538989 4722619720,444,1,625,DEBIT
50183538616271,445,4,563,DEBIT
2149 565561 34861,446,4,542,DEBIT
3643 565433 55266,447,4,525,DEBIT
429 78447 55732 925,448,4,996,DEBIT
524 65287 28786 165,449,2,580,CREDIT
3435 434237 67589,450,1,650,DEBIT
402613 266968 6884,451,2,917,CREDIT
347728262528988,452,3,650,CREDIT
4532769253982,453,4,710,CREDIT
6759741684313671,454,3,948,CREDIT
303595885878443,455,5,835,DEBIT
3635 689194 65252,456,5,590,CREDIT
644298 759962 2960,457,4,650,CREDIT
3014 661465 15780,458,4,961,CREDIT
4556225791851687,459,1,359,CREDIT
633110 7234653841,460,2,162,CREDIT
305142992985924,461,1,527,CREDIT
402621 9985843875,462,5,939,DEBIT
556567 847931 5186,463,2,569,CREDIT
547 18562 17215 248,464,2,900,CREDIT
3056 815755 83739,465,3,573,DEBIT
6333685687695283821,466,2,696,DEBIT
633 11022 22321 782,467,5,125,DEBIT
201483457278791,468,2,866,CREDIT
3011 736822 27586,469,3,648,CREDIT
3798 732296 73682,470,4,191,DEBIT
501845 77 1656 9484 869,471,4,163,DEBIT
67616286535881,472,2,895,DEBIT
3675 245256 83354,473,4,768,CREDIT
2149 242723 68528,474,2,676,DEBIT
4532 6948 9169 2359,475,5,268,DEBIT
646 65521 45789 340,476,2,919,DEBIT
67093647554965823,477,2,338,CREDIT
544449 7889585727,478,4,477,DEBIT
491688 8325868850,479,1,362,CREDIT
562829 2874268977,480,1,366,CREDIT
3029 442348 68963,481,2,990,CREDIT
484446 837493 6838,482,4,555,DEBIT
3002 638477 96244,483,3,536,CREDIT
630446 33 9475 8966 785,484,4,844,DEBIT
491 69594 65276 152,485,2,776,CREDIT
2014 829865 66866,486,3,296,CREDIT
300224821735780,487,4,488,CREDIT
676735464848376323,488,3,748,DEBIT
67097773182353699,489,5,891,CREDIT
2149 741882 86421,490,3,708,CREDIT
676738228452277474,491,2,592,DEBIT
649 44193 74632 847,492,2,809,CREDIT
518674 315398 5248,493,2,588,CREDIT
4556 6773 5684 5522,494,2,114,CREDIT
214933712122841,495,3,663,DEBIT
3647 948625 24726,496,4,611,DEBIT
4716382412329,497,3,266,DEBIT
2149 375799 18233,498,3,402,CREDIT
6334 4762 1818 8661,499,2,206,DEBIT
6334288384686646,500,3,866,DEBIT
